filename,dc.title,dc.identifier.other,dc.rights.holder,dc.creator,dc.format,dc.coverage.spatial,dc.subject,dc.date.created,dc.description,Ibss-library.taxon,Ibss-library.commonName,ibss-library-familyName,ibss-library.internalNotes,ibss-library.containerInformation,ibss-library.physicalLocation,Ibss-library.filename,dc.identifier.uri,dc.type,dc.rights.statement,dc.rights.status,Ibss-library.publish
African Grey Woodpecker - Dendropicos goertae 180220 _D4A6508.tif,The African grey woodpecker (Dendropicos goertae) is a species of bird in the family Picidae. Tarangire National Park in Tanzania,0,California Academy of Sciences,"Gerald Corsi, Gerald and Buff Corsi",TIFF,Tarangire National Park,"African grey woodpecker, Dendropicos goertae, Picidae, Tarangire National Park, Tanzania, United Republic of Tanzania, East Africa, color photograph, day, no people, outdoors, natural world, Gerald Corsi, Gerald and Buff Corsi, nature, the natural world, horizontal, gray, brown, tan, red, wildlife, native, Aves, Piciformes, nest",2018:02:20 11:08:19,The African grey woodpecker (Dendropicos goertae) is a species of bird in the family Picidae. Tarangire National Park in Tanzania,,,,,,,,,,,,
1927 Dodge Graham Truck Bodie State Historic Park _D2Y1097.tif,"Historic Gold Mining Ghost Town, Bodie State Historic Park,  California",0,California Academy of Sciences,"Gerald & Buff Corsi / Focus on Nature, Inc., Gerald and Buff Corsi",TIFF,Bodie State Historic Park,"1927 Dodge Graham truck, gas pump, old, Bodie State Historic Park, Bodie Ghost town, California, Mono County, Bodie Historic District, blue, old gas pumps, color photograph, day, no people, outdoors, travel destination, horizontal, Gerald Corsi, Gerald and Buff Corsi, Gerald & Buff Corsi, Fall, views, scenic, landscape",2007:03:03 12:39:02,"Historic Gold Mining Ghost Town, Bodie State Historic Park,  California",,,,,,,,,,,,
A Braided River - McKinley River 170828 _D806259.tif,"Denali National Park, Denali National Park and Preserve, Alaska",0,California Academy of Sciences,"Gerald Corsi, Gerald and Buff Corsi",TIFF,Denali National Park,"Braided river, braided channel, McKinley River, Alaska Range, Denali National Park, Denali National Park and Preserve, Alaska, wilderness area, color photograph, day, no people, outdoors, natural world, national park, travel destination, horizontal, Gerald Corsi, Gerald and Buff Corsi, Gerald & Buff Corsi, white, brown, tan, blue, Fall, valley, views, scenic, landscape, water, river",2017:08:28 16:38:12,"Denali National Park, Denali National Park and Preserve, Alaska",,,,,,,,,,,,
African Buffalo - Syncerus caffer 180225 _D4A0494.tif,"The African buffalo or Cape buffalo (Syncerus caffer) is a large African bovine. Ngorongoro Conservation Area, United Republic of Tanzania",0,California Academy of Sciences,"Gerald Corsi, Gerald and Buff Corsi",TIFF,Ngorongoro Crater,"African buffalo, Cape buffalo, Syncerus caffer, Syncerus caffer caffer, bovine, Ngorongoro Conservation Area, Ngorongoro Crater, Tanzania, United Republic of Tanzania, East Africa, color photograph, day, no people, outdoors, natural world, Gerald Corsi, Gerald and Buff Corsi, nature, the natural world, horizontal, black, brown, tan, with mud, covered in mud",2018:02:25 16:11:47,"The African buffalo or Cape buffalo (Syncerus caffer) is a large African bovine. Ngorongoro Conservation Area, United Republic of Tanzania",,,,,,,,,,,,
African Elephant - Loxodonta africana 180222 _D4A8451.tif,"African bush elephant (Loxodonta africana), also known as the African savanna elephant, Tarangire National Park in Tanzania",0,California Academy of Sciences,Gerald Corsi,TIFF,Tarangire National Park,"African bush elephant, Loxodonta africana, African savanna elephant, young elephants, testing each other, dominance test, Tarangire National Park, Tanzania, United Republic of Tanzania, East Africa, color photograph, day, no people, outdoors, natural world, Gerald Corsi, Gerald and Buff Corsi, nature, the natural world, horizontal, gray, brown, wildlife, mammal, wild, standing, Chordata, Mammalia, Proboscidea, Elephantidae",2018:02:22 11:13:33,"African bush elephant (Loxodonta africana), also known as the African savanna elephant, Tarangire National Park in Tanzania",,,,,,,,,,,,
African Leopard - Panthera pardus pardus 180303 _D4A3623.tif,The African leopard (Panthera pardus pardus). iSerengeti National Park,0,California Academy of Sciences,"Gerald Corsi, Gerald and Buff Corsi",TIFF,Serengeti National Park,"African leopard, Panthera pardus pardus, on tree, resting, Serengeti National Park, Tanzania, United Republic of Tanzania, East Africa, color photograph, day, no people, outdoors, natural world, Gerald Corsi, Gerald and Buff Corsi, nature, the natural world, vertical, white, black, brown, tan, carnivore, wildlife, mammal, Mammalia, Carnivora, Felidae, wild",2018:03:03 12:26:54,The African leopard (Panthera pardus pardus). iSerengeti National Park,,,,,,,,,,,,
African Elephant Mandibular teeth - Loxodonta africana 180223 _D803129.tif,"African bush elephant (Loxodonta africana), also known as the African savanna elephant, Tarangire National Park in Tanzania",0,California Academy of Sciences,Gerald Corsi,TIFF,Tarangire National Park,"African bush elephant, Loxodonta africana, African savanna elephant, mandible, mandibular teeth, molar tooth, dental enamel, dentin, lamella, right side, Tarangire National Park, Tanzania, United Republic of Tanzania, East Africa, color photograph, day, no people, outdoors, natural world, Gerald Corsi, Gerald and Buff Corsi, nature, the natural world, horizontal, gray, brown, mammal, Chordata, Mammalia, Proboscidea, Elephantidae",2018:02:23 09:25:05,"African bush elephant (Loxodonta africana), also known as the African savanna elephant, Tarangire National Park in Tanzania",,,,,,,,,,,,
African Lion - Panthera leo leo 180304 _D4A4315.tif,"African lion, Panthera leo leo,  found in the Serengeti National Park",0,California Academy of Sciences,"Gerald Corsi, Gerald and Buff Corsi",TIFF,Serengeti National Park,"African Lion, Panthera leo leo, Serengeti National Park, Tanzania, United Republic of Tanzania, East Africa, color photograph, day, no people, outdoors, natural world, Gerald Corsi, Gerald and Buff Corsi, nature, the natural world, yawn, yawning, teeth, mouth, vertical, brown, tan, carnivore, wildlife, Chordata, Mammalia, Carnivora, Felidae, wild, standing, fighting, sleeping",2018:03:04 15:01:06,"African lion, Panthera leo leo,  found in the Serengeti National Park",,,,,,,,,,,,
African Elephant - Loxodonta africana 180221 _D802800.tif,"African bush elephant (Loxodonta africana), also known as the African savanna elephant, Tarangire National Park in Tanzania",0,California Academy of Sciences,Gerald Corsi,TIFF,Tarangire National Park,"African bush elephant, Loxodonta africana, African savanna elephant, Tarangire National Park, Tanzania, United Republic of Tanzania, East Africa, color photograph, day, no people, outdoors, natural world, Gerald Corsi, Gerald and Buff Corsi, nature, the natural world, horizontal, gray, brown, wildlife, mammal, wild, by the river, water, walking, standing, Chordata, Mammalia, Proboscidea, Elephantidae",2018:02:21 11:37:21,"African bush elephant (Loxodonta africana), also known as the African savanna elephant, Tarangire National Park in Tanzania",,,,,,,,,,,,
African Leopard - Panthera pardus pardus 180303 _D4A3663.tif,The African leopard (Panthera pardus pardus). iSerengeti National Park,0,California Academy of Sciences,"Gerald Corsi, Gerald and Buff Corsi",TIFF,Serengeti National Park,"African leopard, Panthera pardus pardus, in tree, with kill, kill in tree, young wildebeest, Serengeti National Park, Tanzania, United Republic of Tanzania, East Africa, color photograph, day, no people, outdoors, natural world, Gerald Corsi, Gerald and Buff Corsi, nature, the natural world, horizontal, white, black, brown, tan, carnivore, wildlife, mammal, Mammalia, Carnivora, Felidae, wild, feeding",2018:03:03 12:41:41,The African leopard (Panthera pardus pardus). iSerengeti National Park,,,,,,,,,,,,
